Movie,Rating,Genre
all_is_lost,N/A,Change File Name
71.2014.720p.BluRay.x264.YIFY,N/A,Change File Name
Ponyo English Dub DVD,N/A,Change File Name
Captain Phillips (2013),7.8,"Biography, Drama, Thriller"
About.Time.2013.720p.BluRay.x264.YIFY,N/A,Change File Name
Subs,7.0,Comedy
Flight (2012).CD1,N/A,Change File Name
Flight (2012).CD2,N/A,Change File Name
Invictus,7.4,"Biography, Drama, History"
Defiance (2008),7.2,"Action, Drama, History"
Where's the Party Yaar (2003),N/A,Change File Name
Diary of a Wimpy Kid Dog Days (2012),6.4,"Comedy, Family"
The.Fault.in.Our.Stars.2014.720p.BluRay.x264.YIFY,N/A,Change File Name
The.Imitation.Game.2014.iTALiAN.MD.Dual.DVDSCR.x264-TeaM,N/A,Change File Name
The Interview,6.6,Comedy
Con Air (1997),6.8,"Action, Crime, Thriller"
Abraham Lincoln Vampire Hunter (2012),5.9,"Action, Fantasy, Horror"
all_is_lost,N/A,Change File Name
After Earth (2013),4.9,"Action, Adventure, Sci-Fi"
Argo (2012),7.7,"Biography, Drama, History"
A Beautiful Mind (2001),8.2,"Biography, Drama"
Meeting Evil (2012),5.3,"Crime, Drama, Mystery"
Mission Impossible - Ghost Protocol (2011),7.4,"Action, Adventure, Thriller"
Munich (2005),7.6,"Drama, Thriller"
Inside Man (2006),7.6,"Crime, Drama, Mystery"
The Dictator (2012),6.4,Comedy
Sanctum (2011),5.9,"Adventure, Drama, Thriller"
Requiem for a Dream (2000),8.4,Drama
The Smurfs (2011),5.5,"Animation, Adventure, Comedy"
The Lone Ranger (2013),6.5,"Action, Adventure, Western"
The Pink Panther (2006),5.6,"Adventure, Comedy, Crime"
The Shawshank Redemption (1994),9.3,"Crime, Drama"
The Smurfs 2 (2013),5.4,"Animation, Adventure, Comedy"
The Oxford Murders (2008),6.1,"Crime, Mystery, Thriller"
The Silence of the Lambs (1991),8.6,"Crime, Drama, Thriller"
This Means War (2012),6.3,"Action, Comedy, Romance"
We Need to Talk About Kevin (2011),7.5,"Crime, Drama, Mystery"
Road Trip (2000),6.5,"Adventure, Comedy"
Good Will Hunting (1997),8.3,Drama
Green Zone (2010),6.8,"Action, Drama, Thriller"
Project X (2012),6.7,Comedy
Prometheus (2012),7.0,"Adventure, Mystery, Sci-Fi"
Turtles Can Fly (2004),8.1,"Drama, War"
Eternal Sunshine of the Spotless Mind (2004),8.3,"Drama, Romance, Sci-Fi"
Lost in Translation (2003),7.8,Drama
Moonrise Kingdom (2012),7.8,"Adventure, Comedy, Drama"
Shattered Glass (2003),7.2,"Drama, History"
Slumdog Millionaire (2008),8.0,Drama
Away We Go (2013),5.0,Short
Cinderella Man (2005),8.0,"Biography, Drama, Sport"
Dirty.Girl.2011.DVDRip.XVID-ZOMBiES,N/A,Change File Name
The Hunters (2013),5.0,Adventure
October Sky (1999),7.8,"Biography, Drama, Family"
Pirates of Silicon Valley (1999),7.3,"Biography, Drama, History"
The Godfather (1972),9.2,"Crime, Drama"
Van Wilder Freshman Year (2009),5.3,"Comedy, Romance"
A Monster in Paris (2011),6.8,"Animation, Adventure, Comedy"
The Bridge (2006),7.3,"Documentary, Drama"
Her (2013),8.0,"Drama, Romance, Sci-Fi"
King Arthur (2004),6.3,"Action, Adventure, Drama"
Freezer (2014),5.2,"Action, Thriller"
Monsters University (2013),7.3,"Animation, Adventure, Comedy"
Diary of a Wimpy Kid Dog Days (2012),6.4,"Comedy, Family"
The First Time (2012),6.9,"Comedy, Drama, Romance"
Superman Batman Public Enemies (2009),7.2,"Animation, Action, Drama"
The Green Mile (1999),8.5,"Crime, Drama, Fantasy"
The Pursuit of Happyness (2006),8.0,"Biography, Drama"
Schindler's List (1993),N/A,Change File Name
Captain America The First Avenger (2011),6.9,"Action, Adventure, Sci-Fi"
Spread (2009),5.9,"Comedy, Drama, Romance"
88 Minutes (2007),4.3,"Adventure, Comedy, Thriller"
Rio (2011),6.9,"Animation, Adventure, Comedy"
White House Down (2013),6.4,"Action, Drama, Thriller"
Inception (2010),8.8,"Action, Adventure, Sci-Fi"
Not Another Teen Movie (2001),5.7,Comedy
Message in a Bottle (1999),6.1,"Drama, Romance"
Soul Surfer (2011),7.1,"Biography, Drama, Family"
The Aviator (2004),7.5,"Biography, Drama, History"
Chef (2014),7.3,"Comedy, Drama"
Odd Thomas (2013),6.9,"Comedy, Fantasy, Horror"
One Missed Call (2008),3.9,"Horror, Mystery"
Parker (2013),6.2,"Action, Crime, Romance"
Perfect Stranger (2007),5.7,"Crime, Mystery, Thriller"
The Wolf of Wall Street (2013),8.2,"Biography, Comedy, Crime"
A Separation (2011),8.4,"Drama, Mystery"
The Internship (2013),6.3,Comedy
9.2009.720p.BluRay.x264.YIFY,N/A,Change File Name
Birdman Or (The Unexpected Virtue of Ignorance) (2014),7.8,"Comedy, Drama, Romance"
Ip Man 2 (2010),7.6,"Action, Biography, Drama"
The Water Diviner (2014),7.1,"Drama, War"
The Wolf of Wall Street (2013),8.2,"Biography, Comedy, Crime"
The Perfect House (2012),N/A,Change File Name
300 (2006),N/A,Change File Name
._The Secret Life of Walter Mitty 2013 DVDscr XViD NO1KNOWS,N/A,Change File Name
The Secret Life of Walter Mitty (2013),7.3,"Adventure, Comedy, Drama"
12 Years a Slave (2013),N/A,"Short, Comedy"
Ghost Machine (2009),4.8,"Action, Sci-Fi, Thriller"
Olympus Has Fallen (2013),6.5,"Action, Thriller"
Into the Storm (2014),5.8,"Action, Thriller"
Contact (1997),7.4,"Drama, Mystery, Sci-Fi"
Dallas Buyers Club (2013),8.0,"Biography, Drama"
The Men of The Next Three Days (2011),6.9,Short
Limitless (2011),7.4,"Mystery, Sci-Fi, Thriller"
Lucy (2014),6.4,"Action, Sci-Fi, Thriller"
Step Up All In (2014),6.0,"Drama, Music, Romance"
#Stuck (2014),8.9,"Short, Thriller"
310 to Yuma (2007),7.7,"Adventure, Crime, Drama"
Apollo 13 (1995),7.6,"Adventure, Drama, History"
Deja Vu (2006),7.0,"Action, Sci-Fi, Thriller"
The Exam (2011),7.5,"Drama, Thriller"
Total Recall (2012),6.3,"Action, Adventure, Mystery"
Gone Girl (2014),8.1,"Crime, Drama, Mystery"
Fury (2014) 720p WEB-DL x264 - [KIKS],N/A,Change File Name
Enemy at the Gates (2001),7.6,"Drama, History, War"
Full Metal Jacket (1987),8.3,"Drama, War"
Flags of Our Fathers (2006),7.1,"Drama, History, War"
The Book Thief (2013),7.6,"Drama, War"
The Boy in the Striped Pajamas (2008),7.8,"Drama, War"
World War Z (2013),7.0,"Action, Adventure, Horror"
The Exorcism of Emily Rose (2005),6.7,"Drama, Horror, Thriller"
The Descent (2005),7.2,"Adventure, Horror, Thriller"
The Devil's Advocate (1997),N/A,Change File Name
Haunt (2014),5.2,"Horror, Mystery, Romance"
Sinister (2012),6.8,"Horror, Mystery"
Mama (2013),6.2,"Horror, Thriller"
Oculus (2013),6.5,"Horror, Mystery"
The Host (2013),5.9,"Action, Adventure, Romance"
The Possession (2012),5.9,"Horror, Thriller"
The Ring (2002).CD1,N/A,Change File Name
The Ring (2002).CD2,N/A,Change File Name
The Ring Two (2005),5.4,"Horror, Mystery"
Annabelle (2014),5.4,"Horror, Mystery, Thriller"
Trick 'r Treat (2007),6.8,"Horror, Thriller"
Apartment 1303 3D (2012),N/A,Change File Name
Patrick (2013),4.9,"Horror, Sci-Fi, Thriller"
Shaun of the Dead,8.0,"Comedy, Horror"
The Appearing [2014] HDRip XViD juggs[ETRG],N/A,Change File Name
Crawlspace (2012),4.8,"Horror, Mystery, Sci-Fi"
Thor (2011),7.0,"Action, Adventure, Fantasy"
The Amazing Spider-Man 2 (2014),N/A,Change File Name
